Non Sarcastic Cyberbullying Sentences,Labels
boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0
she look like a tranny,0
The shit you hear about me might be true or it might be faker than the bitch who told it to ya,0
you might not get ya bitch back and thats that,0
Keeks is a bitch she curves everyone,0
bitch get up off me,0
bitch fuck off ,0
cancel that bitch like Nino,0
"fuck no that bitch dont even suck dick """,0
i met that pussy on Ocean Dr . i gave that pussy a pill,0
i need a trippy bitch who fuck on Hennessy,0
if you aint bout that Murder Game pussy nigga shut up,0
if you're toes ain't done you pussy stinks,0
it aint nothing to cut a bitch off,0
jus meet son now he ya mane ass bitches,0
"pimps up pimps up hoes down """" Future voice""",0
"Shutup pussy""",0
On my way to fuck yo bitch,0
This bitch was so ungrateful,0
this bitch need to go!!,0
get out of the country you nigger!!,0
What would y'all lil ugly bald headed bitches do if they stop making make-up and weave?,0
bitch want likes for some depressing,0
im the bitch okay nudes pat,0
The fuck be wrong with these bitches,0
Little stupid as bitch I don't fuck with yoooooouuuu.,0
I could go for a fat ass bitch on my lap,0
These hoes be thinking Meat won't slap they ass,0
Yall bitches wit no edges be doing the most talking,0
"Yall still going trick or treating this year or nah?""""hell yeah ima be da sweet tooth bandit steal bitches",0
I wanna have sex with your  mom fuck her right in that pussy where you came from,0
 damn you got hacked like fuck dont bother ,0
" watch that bitch!""""lmfao""",0
Happy Bday Bitch Ass Nigga appreciate that bitch roll up,0
you are an emotionally damaged bitch ,0
Check out our 12th man. even with all those faggot any fans in the stands,0
Can pornhub just get a gaming stream feature so these dumb bitches can gtfo,0
"stop being scared to choke her during sex u bitch ass niggas. She will like it."""". Says the guy who hits women out of bed. FOH""",0
"Oh man.. """"its 5 am, you off a molly, ho where the fuck ya seed at??"""""""" ",0
Don't got time for bitches to be actin iffy,0
These hoes ain't loyal ; no they ain't,0
"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."""" BYE HOE!""",0
shut yo bitch ass up!,0
"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",0
"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."""" ...sounding like me over there lol""",0
"Easy cum, easy hoe"""" That's a fact !""",0
LMFAOOOO I HATE BLACK PEOPLE,0
Fuck twerking bitch can you cook ?,0
This is why there's black people and niggers,0
"How could u do this to me bitch"""" potent""",0
